ano;tipo_atividade;titulo;data_inicio;data_fim;coordenador;area_tematica;situacao;tipo_projeto;bolsas_solicitadas;bolsas_concedidas;publico_interno;bolsas_edital;numero_edital;edital;municipio
2015;EVENTO;Violência e Criminalidade: o combate da criminalidade com incentivo a emancipação feminina, dignidade e autonomia cidadã;2015-10-29;2015-10-30;KEITY MARA FERREIRA DE SOUZA E SABOYA;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;70;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;VI SEGEF - VI Semana de Geofísica da UFRN;2015-09-30;2015-10-31;ROSANGELA CORREA MACIEL;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;180;;;;
2015;EVENTO;VI Semana de Artes Visuais: A pesquisa em Artes Visuais;2015-05-04;2015-06-08;ROGERIO JUNIOR CORREIA TAVARES;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;1;0;160;0;011/2014;EDITAL no 011/2014 UFRN/PROGRAD/PPG/PROPESQ/PROEX (EVENTOS INTEGRADOS PARA 2015);
2015;EVENTO;VI SEMANA GEPETIS - Desenvolvimento Regional no contexto da crise contemporânea;2015-09-30;2015-10-02;WILLIAM EUFRASIO NUNES PEREIRA;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;150;0;4;EDITAL 004 /2015 UFRN/PROGRAD/PPG/PROPESQ/PROEX SELEÇÃO PÚBLICA PARA APOIO A REALIZAÇÃO DE EVENTOS (EVENTOS INTEGRADOS SEGUNDO SEMESTRE).;
2015;EVENTO;"VI SEMINÁRIO DE DIREITOS HUMANOS ""A consolidação da política nacional em direitos humanos"": perspectivas e desafios atuais";2015-09-17;2015-09-18;MARIA TERESA LISBOA NOBRE PEREIRA;DIREITOS HUMANOS E JUSTIÇA;CONCLUÍDA;EXTENSÃO;0;0;150;;;;
2015;EVENTO;Visita Técnica;2015-03-20;2015-03-20;ALESSANDRO DOZENA;MEIO AMBIENTE;CONCLUÍDA;EXTENSÃO;0;0;14;;;;
2015;EVENTO;Viva Esporte;2015-11-28;2015-11-28;EDUARDO BODNARIUC FONTES;EDUCAÇÃO;CONCLUÍDA;EXTENSÃO;0;0;60;;;;
2015;EVENTO;VI Workshop de Engenharia Elétrica  Pesquisa e inovação na engenharia;2015-04-07;2015-05-08;ALLAN DE MEDEIROS MARTINS;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;140;0;011/2014;EDITAL no 011/2014 UFRN/PROGRAD/PPG/PROPESQ/PROEX (EVENTOS INTEGRADOS PARA 2015);
2015;EVENTO;V MOSTRA DO GRUPO DE PESQUISA CUIDADO DA ENFERMAGEM EM DIFERENTES FASES DA VIDA;2015-12-11;2015-12-11;AKEMI IWATA MONTEIRO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;30;;;;
2015;EVENTO;V NutriEla;2015-05-22;2015-05-22;LUCIA LEITE LAIS;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;15;;;;
2015;EVENTO;"V OFICINA DE TREINAMENTO PARA O USO DO LIVRO SOBRE EDUCAÇÃO ALIMENTAR E NUTRICIONAL ""Oníria: Meio cozinheira, meio mágica"" - Promoção da alimentação adequada e saudável nas escolas Ensino Fundamental menor";2015-07-03;2015-07-03;LIANA GALVAO BACURAU PINHEIRO;SAÚDE;CONCLUÍDA;EXTENSÃO;0;0;10;;;;
2015;EVENTO;VORTEX SPINNING SYSTEM  A EVOLUÇÃO DO JEITO DE FIAR;2015-05-08;2015-05-08;FERNANDO RIBEIRO OLIVEIRA;TECNOLOGIA E PRODUÇÃO;CONCLUÍDA;EXTENSÃO;0;0;25;;;;
2015;EVENTO;V SEMANA DOS TROVADORES NO SERIDÓ;2015-11-11;2015-11-14;VALDENIDES CABRAL DE ARAUJO DIAS;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;200;;;;
2015;EVENTO;V SEMINÁRIO DE ARTE E CULTURA DA UFRN: Diálogos sobre o Plano de Cultura da UFRN no contexto do Mais Cultura nas Universidades;2015-09-21;2015-09-22;TEODORA DE ARAUJO ALVES;CULTURA;CONCLUÍDA;EXTENSÃO;0;0;150;;;;
